time,wind_speed,wind_direction,nacellePosition,nacelle position logs
384,7.2,49.3,44.55,48.3
385,7,40.3,44.55,48.3
386,6.1,33.3,44.55,48.3
387,5.9,45.3,44.55,48.3
388,6.2,18.3,44.55,48.3
389,5.8,51.3,44.55,48.3
390,6,47.3,44.55,48.3
391,6.2,54.3,44.55,48.3
392,5.7,59.3,44.55,48.3
393,5.6,33.3,44.55,48.3
394,5.8,40.3,44.55,48.3
395,5.8,84.3,44.55,48.3
396,6.3,8.3,44.55,48.3
397,6,59.3,44.55,48.3
398,6.4,35.3,44.55,48.3
399,6.2,18.3,44.55,48.3
400,5.9,26.3,44.55,48.3
401,6.2,38.3,44.55,48.3
402,6.3,35.3,44.55,48.3
403,6.4,40.3,44.55,48.3
404,6.6,69.3,44.55,48.3
405,6.5,59.3,44.55,48.3
406,6,59.3,44.55,48.3
407,6.3,42.3,44.55,48.3
408,6.1,71.3,44.55,48.3
409,6.1,28.3,44.55,48.3
410,6.1,28.3,44.55,48.3
411,6.1,28.3,44.55,48.3
412,6,47.3,44.55,48.3
413,6.4,28.3,44.55,48.3
414,6.8,45.3,44.55,48.3
415,6.6,84.3,44.55,48.3
416,5.9,47.3,44.55,48.3
417,5.7,59.3,44.55,48.3
418,5.7,92.3,44.55,48.3
419,5.4,40.3,44.55,48.3
420,5.7,47.3,44.55,48.3
421,6.6,76.3,44.55,48.3
422,6.4,25.3,44.55,48.3
423,6.5,31.3,44.55,48.3
424,6.3,45.3,44.55,48.3
425,6.1,48.3,44.55,48.3
426,6.3,40.3,44.55,48.3
427,6.3,45.3,44.55,48.3
428,6.5,66.3,44.55,48.3
429,6.5,64.3,44.55,48.3
430,6.1,25.3,44.55,48.3
431,6,23.3,44.55,48.3
432,5.9,15.3,44.55,48.3
433,5.8,54.3,44.55,48.3
434,6.3,20.3,44.55,48.3
435,6.1,31.3,44.55,48.3
436,6.2,13.3,44.55,48.3
437,6.3,28.3,44.55,48.3
438,6.5,59.3,44.55,48.3
439,6.1,23.3,44.55,48.3
440,6.9,33.3,44.55,48.3
441,7.6,54.3,44.55,48.3
442,7.3,25.3,44.55,48.3
443,6.6,40.3,44.55,48.3
444,6.6,51.3,44.55,48.3
445,6.3,35.3,44.55,48.3
446,6.5,47.3,44.55,48.3
447,6.2,35.3,44.55,48.3
448,6.3,8.3,44.55,48.3
449,6.7,54.3,44.55,48.3
450,6.7,48.3,44.55,48.3
451,6.5,33.3,44.55,48.3
452,6.2,40.3,44.55,48.3
453,6.9,-1.7,44.55,48.3
454,7,18.3,44.55,48.3
455,7.7,35.3,44.55,48.3
456,7.6,35.3,44.55,48.3
457,7.4,49.3,44.55,48.3
458,7.1,35.3,44.55,48.3
459,6.7,84.3,44.55,48.3
460,6.4,30.3,44.55,48.3
461,6,57.3,44.55,48.3
462,5.7,59.3,44.55,48.3
463,5.2,45.3,44.55,48.3
464,5.9,28.3,44.55,48.3
465,6,49.3,44.55,48.3
466,5.8,43.3,44.55,48.3
467,5.8,64.3,44.55,48.3
468,6.6,51.3,44.55,48.3
