time,wind_speed,wind_direction,nacellePosition,nacelle position logs
543,6.2,89.1,52.074,46.1
544,5.9,52.1,52.074,46.1
545,5.6,47.1,52.074,46.1
546,5.6,57.1,52.074,46.1
547,6.1,52.1,52.074,46.1
548,6.6,84.1,52.074,46.1
549,7.3,38.1,52.074,46.1
550,7,67.1,52.074,46.1
551,6.1,52.1,52.074,46.1
552,6,74.1,52.074,46.1
553,6.8,33.1,52.074,46.1
554,7.2,69.1,52.074,46.1
555,7.2,3.1,52.074,46.1
556,6.6,64.1,52.074,46.1
557,7.2,46.1,52.074,46.1
558,7.2,69.1,52.074,46.1
559,6.7,72.1,52.074,46.1
560,7.1,62.1,52.074,46.1
561,7.1,69.1,52.074,46.1
562,7.1,86.1,52.074,46.1
563,7.4,52.1,52.074,46.1
564,6.7,57.1,52.074,46.1
565,6.9,69.1,52.074,46.1
566,6.5,54.1,52.074,46.1
567,6.7,49.1,52.074,46.1
568,6.5,69.1,52.074,46.1
569,7,16.1,52.074,46.1
570,6.9,21.1,52.074,46.1
571,6.7,31.1,52.074,46.1
572,5.9,69.1,52.074,46.1
573,6,69.1,52.074,46.1
574,6.3,72.1,52.074,46.1
575,6.6,31.1,52.074,46.1
576,7.1,52.1,52.074,46.1
577,7.7,64.1,52.074,46.1
578,8,-1.9,52.074,46.1
579,7.2,38.1,52.074,46.1
580,6.5,57.1,52.074,46.1
581,6.7,33.1,52.074,46.1
582,6.2,79.1,52.074,46.1
583,6,82.1,52.074,46.1
584,6.4,52.1,52.074,46.1
585,6.7,74.1,52.074,46.1
586,6.1,82.1,52.074,46.1
587,5.6,49.1,52.074,46.1
588,5.7,-6.9,52.074,46.1
589,5.9,47.1,52.074,46.1
590,6.2,104.1,52.074,46.1
591,6.6,74.1,52.074,46.1
592,6.3,59.1,52.074,46.1
593,5.8,31.1,52.074,46.1
594,5.5,31.1,52.074,46.1
595,5.8,28.1,52.074,46.1
596,5.8,18.1,52.074,46.1
597,6.2,26.1,52.074,46.1
598,6.8,52.1,52.074,46.1
599,6.4,21.1,52.074,46.1
600,6.1,43.1,52.074,46.1
601,6.2,82.1,52.074,46.1
602,5.8,77.1,52.074,46.1
603,5.7,28.1,52.074,46.1
604,5.6,26.1,52.074,46.1
605,5.5,1.1,52.074,46.1
606,5.7,82.1,52.074,46.1
607,6.1,43.1,52.074,46.1
608,6.5,33.1,52.074,46.1
609,6.3,52.1,52.074,46.1
610,6.1,52.1,52.074,46.1
611,5.9,23.1,52.074,46.1
612,5.6,82.1,52.074,46.1
613,5.3,38.1,52.074,46.1
614,5.8,26.1,52.074,46.1
615,6.1,28.1,52.074,46.1
616,5.9,41.1,52.074,46.1
617,6,59.1,52.074,46.1
618,6.4,62.1,52.074,46.1
619,6.2,33.1,52.074,46.1
620,6.2,38.1,52.074,46.1
621,6.4,62.1,52.074,46.1
622,6.4,13.1,52.074,46.1
623,6.1,54.1,52.074,46.1
624,5.3,74.1,52.074,46.1
625,5.1,57.1,52.074,46.1
626,5.1,49.1,52.074,46.1
627,5.5,26.1,52.074,46.1
628,5.4,52.1,52.074,46.1
629,5.8,26.1,52.074,46.1
630,5.9,62.1,52.074,46.1
631,5.6,33.1,52.074,46.1
632,5.5,43.1,52.074,46.1
633,5.7,41.1,52.074,46.1
634,5.9,36.1,52.074,46.1
635,6.3,46.1,52.074,46.1
636,5.8,38.1,52.074,46.1
637,5.5,46.1,52.074,46.1
638,5.7,104.1,52.074,46.1
639,6.1,59.1,52.074,46.1
640,6.4,57.1,52.074,46.1
641,6.4,31.1,52.074,46.1
642,6.8,57.1,52.074,46.1
643,6.1,38.1,52.074,46.1
644,5.8,64.1,52.074,46.1
645,5.8,72.1,52.074,46.1
646,6.1,64.1,52.074,46.1
647,5.8,74.1,52.074,46.1
648,5.7,47.1,52.074,46.1
649,6.6,38.1,52.074,46.1
650,7.3,64.1,52.074,46.1
651,7.3,54.1,52.074,46.1
652,7.3,26.1,52.074,46.1
653,7.4,62.1,52.074,46.1
654,7.2,43.1,52.074,46.1
655,6.6,23.1,52.074,46.1
656,6.2,47.1,52.074,46.1
657,6.3,26.1,52.074,46.1
658,6.5,-10.9,52.074,46.1
659,6.5,43.1,52.074,46.1
660,6.5,33.1,52.074,46.1
661,6.1,41.1,52.074,46.1
662,6.2,82.1,52.074,46.1
663,6.1,59.1,52.074,46.1
664,6.2,21.1,52.074,46.1
665,6.6,26.1,52.074,46.1
666,6.2,49.1,52.074,46.1
667,6.2,43.1,52.074,46.1
668,6.3,38.1,52.074,46.1
669,6.7,67.1,52.074,46.1
670,6.5,64.1,52.074,46.1
671,6.1,8.1,52.074,46.1
672,5.4,59.1,52.074,46.1
673,5.3,52.1,52.074,46.1
674,6.1,38.1,52.074,46.1
675,6.4,52.1,52.074,46.1
676,6,43.1,52.074,46.1
677,5.6,57.1,52.074,46.1
678,5.6,49.1,52.074,46.1
679,5.6,54.1,52.074,46.1
680,5.5,43.1,52.074,46.1
681,5.8,64.1,52.074,46.1
682,6,38.1,52.074,46.1
683,6.1,41.1,52.074,46.1
684,6,38.1,52.074,46.1
685,6,47.1,52.074,46.1
686,5.9,47.1,52.074,46.1
687,5.9,121.1,52.074,46.1
688,5.7,72.1,52.074,46.1
689,5.9,47.1,52.074,46.1
690,5.9,43.1,52.074,46.1
691,5.8,54.1,52.074,46.1
692,6.1,41.1,52.074,46.1
693,6.3,41.1,52.074,46.1
694,6,46.1,52.074,46.1
695,5.9,43.1,52.074,46.1
696,6.1,49.1,52.074,46.1
697,6.2,16.1,52.074,46.1
698,5.6,8.1,52.074,46.1
699,5,31.1,52.074,46.1
700,5.3,20.1,52.074,46.1
701,5.9,57.1,52.074,46.1
702,6.5,57.1,52.074,46.1
703,6.1,33.1,52.074,46.1
